name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Hand Axe	axe		hax	hax	hax	0		3	1	0	xxx			3	6									165	35			42		3	1	0	170	4510			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	axe	2ax	1	0	
Axe	axe		axe	axe	axe	0		4	1	0	xxx			4	11							1	10	165	35	32		36		7	1	0	403	8821			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	2ax	mpi	1	0	
Double Axe	axe		2ax	axe	2ax	0		4	1	0	xxx			5	13							1	10	165	35	43		36		13	1	0	873	20349			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	mpi	wax	1	0	
Military Pick	axe		mpi	axe	mpi	0		4	1	0	xxx			7	11							1	-10	165	35	49	33	39		19	1	0	1421	38999			mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	wax	xxx	1	0	
War Axe	axe		wax	hax	wax	0		4	1	0	xxx			10	18							2		165	35	67		39		25	1	0	2123	68075			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0	
Large Axe	axe		lax	lax	lax	0		4	1	0	xxx						1	6	13			1	-10	165	35	35		45		6	1	0	354	7624			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	btx	gax	1	0	
Broad Axe 	axe		bax	lax	bax	0		4	1	0	xxx						1	10	18			1		165	35	48		53		12	1	0	806	18172			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	gax	gix	1	0	
Battle Axe	axe		btx	btx	btx	0		4	1	0	xxx						1	12	32			1	10	165	35	54		60		17	1	0	1262	32454			btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255	5	2	0	gix	xxx	1	0	
Great Axe	axe		gax	btx	gax	0		4	1	0	xxx						1	9	30			2	-10	165	35	63	39	75		23	1	0	1916	58068			gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0	
Giant Axe	axe		gix	gix	gix	0		4	1	0	xxx						1	22	45			3	10	165	35	70		75		27	1	0	2410	81070			gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0	
Wand	wand		wnd	wnd	wnd	0		1	1	0	xxx			2	4									150	50			23		2	1	0	205	3910	1		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	0	ywn	bwn	1	0	
Yew Wand	wand		ywn	ywn	ywn	0		1	1	0	xxx			2	8								10	150	50			23		12	1	0	745	17440	1		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255	5	8	0	bwn	gwn	1	0	
Bone Wand	wand		bwn	bwn	bwn	0		1	1	0	xxx			3	7								-20	150	50			23		18	1	0	1296	34828	1		bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20	1	2	0	xxx	xxx	1	0	
Grim Wand	wand		gwn	bwn	gwn	0		1	1	0	xxx			5	11									150	50			23		26	1	0	2098	70048	1		gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20	1	2	0	xxx	xxx	1	0	
Club	club		clb	clb	clb	0		1	1	0	xxx			1	6								-10	200				36		1	1	0	32	3032			clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	mac	mst	1	0	
Scepter	scep		scp	mac	scp	0		2	1	0	xxx			4	7									200		25		75		3	1	0	350	5050			scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	0	gsc	wsp	1	0	
Grand Scepter	scep		gsc	mac	gsc	0		4	1	0	xxx			8	18							1	10	200		37		90		15	1	0	1109	26635			gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20	2	2	0	xxx	wsp	1	0	
War Scepter	scep		wsp	whm	wsp	0		4	1	0	xxx			10	17							1	-10	200		55		105		21	1	0	2323	61783			wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20	2	2	0	xxx	xxx	1	0	
